CountyCode,CountyName,DistrictCode,DistrictName,SchoolCode,SchoolName,GradeSpan,ADDRESS,CITY_STATE_ZIP,PHONE,ENROLLMENT,ASIAN_PERCENT,ELA_PROFICIENCY,MATH_PROFICIENCY
3,Bergen,40,Allendale Public School District,10,Brookside School,04-08,100 Brookside Avenue,Allendale NJ 07401,201-327-2020,523,17.4,86.7,82.2
3,Bergen,40,Allendale Public School District,20,Hillside Elementary School,PK-03,89 Hillsdale Avenue,Allendale NJ 07401,201-327-2020,375,13.9,67.7,78.5
3,Bergen,80,Alpine Public School District,10,Alpine Elementary School,KG-08,500 Hillside Avenue,Alpine NJ 07620,201-768-8255,165,24.8,87.5,84.1
80,Bergen,6013,Bergen Arts and Science Charter School,900,Bergen Arts and Sciences Charter School,KG-12,200 Macarthur Avenue,Garfield NJ 07026,201-773-9140,1266,7.4,55.6,39.6
3,Bergen,285,Bergen County Special Services School District,100,Autistic Continuum,PK-12,540 Farview Avenue,Paramus NJ 07652,201-343-6000,212,10.4,,
3,Bergen,285,Bergen County Special Services School District,50,Behavioral Continuum,PK-12,540 Farview Avenue,Paramus NJ 07652-4832,201-343-6000,138,2.2,,
3,Bergen,285,Bergen County Special Services School District,30,Deaf and Hard of Hearing Continuum,PK-12,540 Farview Avenue,Paramus NJ 07652,201-343-6000,141,9.2,,
3,Bergen,285,Bergen County Special Services School District,70,Life Skills Continuum,PK-12,540 Farview Avenue,Paramus NJ 07652-4832,201-343-6000,67,9.0,,
3,Bergen,285,Bergen County Special Services School District,40,Multiple Disabilities Continuum,PK-12,540 Farview Avenue,Paramus NJ 07652-1831,201-343-6000,61,8.2,,
3,Bergen,285,Bergen County Special Services School District,2,N. A. Bleshman Regional Day School,PK-12,333 East Ridgewood Avenue,Paramus NJ 07652,201-343-6000,103,10.7,,
3,Bergen,290,Bergen County Vocational Technical School District,300,Applied Technology High School,09-12,400 Paramus Road,Paramus NJ 07652,201-343-6000,319,19.4,94.8,81.9
3,Bergen,290,Bergen County Vocational Technical School District,20,Bergen County Academies,09-12,200 Hackensack Avenue,Hackensack NJ 07601-6110,201-343-6000,1115,56.3,100.0,99.1
3,Bergen,290,Bergen County Vocational Technical School District,301,Bergen County Institute for Science and Technology,09-12,162 Knickerbocker Road,Demarest NJ 07627,201-343-6000,235,33.6,*,*
3,Bergen,290,Bergen County Vocational Technical School District,30,Bergen County Technical High School - Paramus,09-12,E.285 Pascack Road,Paramus NJ 07652-4237,201-343-6000,272,0.7,,
3,Bergen,290,Bergen County Vocational Technical School District,75,Bergen County Technical High School - Paramus,09-12,E.285 Pascack Road,Paramus NJ 07652-4237,201-343-6000,157,4.1,,
3,Bergen,290,Bergen County Vocational Technical School District,70,Bergen County Technical High School - Teterboro,09-12,504 Route 46 West,Teterboro NJ 07608,201-343-6000,673,37.5,98.3,93.9
3,Bergen,300,Bergenfield Borough School District,20,Bergenfield High School,09-12,80 S Prospect Ave,Bergenfield NJ 07621-1958,201-385-8600,1261,24.5,72.2,32.3
3,Bergen,300,Bergenfield Borough School District,40,Franklin Elementary School,PK-05,2 N  Franklin Avenue,Bergenfield NJ 07621,201-385-8581,373,21.2,56.5,54.5
3,Bergen,300,Bergenfield Borough School District,50,Hoover Elementary School,PK-05,273 Murray Hill Terrace,Bergenfield NJ 07621,201-385-8582,280,20.4,51.2,53.2
3,Bergen,300,Bergenfield Borough School District,60,Jefferson Elementary School,KG-05,200 Hickory Avenue,Bergenfield NJ 07621,201-385-8804,292,25.0,52.6,47.0
3,Bergen,300,Bergenfield Borough School District,70,Lincoln Elementary School,PK-05,115 Highview Avenue,Bergenfield NJ 07621,201-385-8759,473,20.5,73.7,66.7
3,Bergen,300,Bergenfield Borough School District,75,Roy W. Brown Middle School,06-08,130 S Washington Ave,Bergenfield NJ 07621-2902,201-385-8847,798,20.7,63.2,44.1
3,Bergen,300,Bergenfield Borough School District,80,Washington Elementary School,KG-05,49 S  Summit Street,Bergenfield NJ 07621,201-385-8771,251,21.9,59.5,56.8
3,Bergen,440,Bogota Public School District,20,Bogota Jr./Sr. High School,08-12,2 Henry C  Luthin Place,Bogota NJ 07603,201-441-4808,467,6.6,61.7,31.8
3,Bergen,440,Bogota Public School District,300,Bogota Middle School,06-07,131 East Fort Lee Road,Bogota NJ 07603,201-441-4800,192,6.3,63.4,44.4
3,Bergen,440,Bogota Public School District,30,E. Roy Bixby,PK-05,25 Fischer Ave,Bogota NJ 07603,201-441-4834,311,5.5,46.3,39.3
3,Bergen,440,Bogota Public School District,50,Lillian M. Steen,PK-05,134 W. Main,Bogota NJ 07603,201-342-6446,343,8.7,61.3,44.5
